0	0	0.61
200	0	0.60
400	0	0.59
600	0	0.43
800	0	0.39
1000	0	0.23
1200	0	0.20
1400	0	0.08
1600	0	0.04
1800	0	0.01
0	200	0.61
200	200	0.61
400	200	0.60
600	200	0.41
800	200	0.37
1000	200	0.19
1200	200	0.18
1400	200	0.10
1600	200	0.05
1800	200	0.00
0	400	0.64
200	400	0.61
400	400	0.58
600	400	0.44
800	400	0.36
1000	400	0.31
1200	400	0.17
1400	400	0.15
1600	400	0.09
1800	400	0.04
0	600	0.61
200	600	0.61
400	600	0.56
600	600	0.43
800	600	0.35
1000	600	0.30
1200	600	0.19
1400	600	0.16
1600	600	0.09
1800	600	0.05
